nombre,precio_venta,precio_compra,codigo_barras,codigo_interno,categoria,sevende_por,stock_inicial
Leche Entera 1L,1500,1100,779001000001,LAC-01,Lácteos,UNIDAD,50
Yogur Frutilla 190g,800,550,779001000002,LAC-02,Lácteos,UNIDAD,40
Queso Cremoso 1kg,8500,6200,779001000003,LAC-03,Lácteos,GRANEL,25
Manteca 200g,1200,850,779001000004,LAC-04,Lácteos,UNIDAD,30
Dulce de Leche 400g,2100,1500,779001000005,LAC-05,Lácteos,UNIDAD,20
Arroz Largo Fino 1kg,1300,950,779002000001,ALM-01,Almacén,UNIDAD,100
Fideos Tallarines 500g,1100,800,779002000002,ALM-02,Almacén,UNIDAD,80
Harina 000 1kg,1200,880,779002000003,ALM-03,Almacén,UNIDAD,70
Aceite de Girasol 900ml,2400,1750,779002000004,ALM-04,Almacén,UNIDAD,48
Puré de Tomate 520g,950,680,779002000005,ALM-05,Almacén,UNIDAD,90
Agua Mineral 2L,900,600,779003000001,BEB-01,Bebidas,UNIDAD,120
Gaseosa Cola 2.25L,2800,2000,779003000002,BEB-02,Bebidas,UNIDAD,72
Cerveza Lata 473ml,1500,1050,779003000003,BEB-03,Bebidas,UNIDAD,96
Jugo de Naranja 1L,1300,920,779003000004,BEB-04,Bebidas,UNIDAD,50
Vino Tinto 750ml,4500,3200,779003000005,BEB-05,Bebidas,UNIDAD,24
Jabón en Polvo 800g,3200,2300,779004000001,LIM-01,Limpieza,UNIDAD,36
Lavandina Original 1L,1400,1000,779004000002,LIM-02,Limpieza,UNIDAD,80
Limpiador de Pisos 900ml,1600,1150,779004000003,LIM-03,Limpieza,UNIDAD,50
Esponja de Cocina,600,400,779004000004,LIM-04,Limpieza,UNIDAD,100
Detergente Lavavajilla 500ml,1900,1400,779004000005,LIM-05,Limpieza,UNIDAD,60
Pan Francés 1kg,2500,1800,779005000001,PAN-01,Panadería,GRANEL,40
Facturas Surtidas x12,4800,3400,779005000002,PAN-02,Panadería,UNIDAD,20
Pan Lactal Grande,3500,2500,779005000003,PAN-03,Panadería,UNIDAD,30
Galletitas Dulces 150g,1200,850,779005000004,PAN-04,Panadería,UNIDAD,80
Tostadas Clásicas 200g,1800,1300,779005000005,PAN-05,Panadería,UNIDAD,50
